Código-Actividades;Titulo-Actividades;Código-NIC
447028;"Animar al paciente  a desarrollar una ""hoja de análisis de señales"" que ilustre los lazos que existen entres las señales y las conductas.";4470
447021;Animar al paciente  a desarrollar una mediación visual de los cambios de conducta (un gráfico).;4470
257001;Animar al paciente (y a los familiares, si procede) a expresar los sentimientos respecto a la posibilidad de TEC.;2570
447023;Animar al paciente a ajustar el plan de puesta a punto para fomentar el cambio de conducta, si fuera necesario ( tamaño de los pasos o recompensa).;4470
148016;Animar al paciente a avisar si alguna parte del masaje es incómoda.;1480
634020;Animar al paciente a buscar a los cuidadores para hablar, cuando se produzca el deseo de autolesión.;6340
510019;Animar al paciente a cambiar de ambiente, como salir a caminar o al cine.;5100
616020;Animar al paciente a centrarse en una implicación cada vez.;6160
646225;Animar al paciente a colaborar en el baño en función de sus capacidades.;6462
447014;Animar al paciente a comenzar con recompensas extrínsecas y progresar hacia las recompensas intrínsecas.;4470
640038;Animar al paciente a contactar con la política cuando su seguridad física está amenazada.;6400
447039;Animar al paciente a continuar emparejando la conducta deseada con los estímulos existentes hasta que se convierta en algo habitual o automático.;4470
510002;Animar al paciente a desarrollar relaciones.;5100
523017;Animar al paciente a desarrollar relaciones.;5230
447013;Animar al paciente a desarrollar una lisa de recompensas de valor extrínseco e intrínseco.;4470
103006;Animar al paciente a discutir preferencias alimentarias con el dietista.;1030
592209;Animar al paciente a dominar la autohipnosis practicándola.;5922
447038;Animar al paciente a elegir una afirmación/recompensa que sea lo suficientemente significativa como para mantener la conducta.;4470
447034;Animar al paciente a emparejar una conducta deseada con un estímulo o señal existente (ejercicios después de trabajar cada día).;4470
441011;Animar al paciente a establecer los objetivos de manera clara, evitando el uso de alternativas.;4410
057002;Animar al paciente a evacuar diariamente.;0570
540019;Animar al paciente a evaluar su propia conducta.;5400
523051;Animar al paciente a evaluar su propio comportamiento.;5230
447001;Animar al paciente a examinar los valores y creencias personales y la satisfacción con ellos.;4470
560218;Animar al paciente a explorar opciones/conseguir una segunda opinión, si procede o se indica.;5602
600019;Animar al paciente a expresar los pensamientos y sentimientos acerca de la experiencia.;6000
257042;Animar al paciente a expresar sus sentimientos respecto a la experiencia de la TEC.;2570
548007;Animar al paciente a hacer una lista de lo que es y no es importante en la vida y del tiempo que ocupa en cada aspecto.;5480
548006;Animar al paciente a hacer una lista de valores que guíen la conducta en distintos  ambientes y tipos de situaciones.;5480
447012;Animar al paciente a identificar afirmaciones/recompensas adecuadas, que tengan sentido.;4470
447017;Animar al paciente a identificar las etapas que sean manejables en tamaño y que se puedan conseguir en un tiempo preestablecido.;4470
441004;Animar al paciente a identificar sus propias virtudes y habilidades.;4410
523035;Animar al paciente a identificar sus puntos fuertes y sus capacidades.;5230
540004;Animar al paciente a identificar sus virtudes.;5400
537008;Animar al paciente a identificar una descripción realista del cambio de rol.;5370
529014;Animar al paciente a implementar costumbres culturales, religiosas y sociales asociadas con la pérdida.;5290
740013;Animar al paciente a ir al departamento de urgencias, si procede.;7400
524813;Animar al paciente a manifestar verbalmente los miedos y hacer preguntas.;5248
436202;Animar al paciente a manifestar verbalmente los sentimientos asociados con los problemas interpersonales.;4362
449015;"Animar al paciente a mantener un estilo de vida sin tabaco (p. ej., hacer del día de abandono del tabaco un día de celebración; fomentar autorrecompensas a intervalos específicos de abandonar el hábito, como 1 semana, 1 mes, 6 meses; fomentar el ahorro de dinero que antes se gastaba en tabaco para comprar una recompensa especial).";4490
451019;Animar al paciente a mantener un registro detallado del consumo de sustancias para evaluar el progreso.;4510
022216;Animar al paciente a mantener una base de apoyo amplia, si fuera necesario.;0222
436022;Animar al paciente a participar en el registro de conductas.;4360
436028;Animar al paciente a participar en la selección de refuerzos.;4360
544008;Animar al paciente a participar en las actividades sociales y comunitarias.;5440
084004;Animar al paciente a participar en los cambios de posición, si procede.;0840
342033;Animar al paciente a practicar autocuidados del muñón.;3420
022628;Animar al paciente a practicar ejercicios de forma independiente, si está indicado.;0226
437013;Animar al paciente a practicar la solución de problemas en situaciones sociales e interpersonales fuera del ambiente terapéutico, seguido por la evaluación del resultado.;4370
540020;Animar al paciente a que acepte nuevos desafíos.;5400
432017;Animar al paciente a que alimente/cuide a los animales.;4320
448011;Animar al paciente a que asuma tanta responsabilidad de sus propios autocuidados como sea posible.;4480
464005;Animar al paciente a que busque ayuda de parte del personal de cuidados u otras personas responsables durante los períodos en que aumente la tensión.;4640
647013;Animar al paciente a que busque la ayuda de los cuidadores cuando experimente sentimientos conflictivos (ansiedad, ira y miedo) que puedan ocasionar la fuga.;6470
180315;Animar al paciente a que coma en el comedor, si estuviera disponible.;1803
443014;Animar al paciente a que comparta sentimientos, conocimientos y percepciones.;4430
651015;Animar al paciente a que compruebe las alucinaciones con otras personas de confianza (prueba de realidad).;6510
411014;Animar al paciente a que deje de fumar.;4110
651013;Animar al paciente a que desarrolle un control/responsabilidad de su propia conducta, si resulta oportuno.;6510
433009;Animar al paciente a que describa sus dibujos o creaciones artísticas.;4330
442002;Animar al paciente a que determine sus virtudes y habilidades.;4420
651014;Animar al paciente a que discuta los sentimientos e impulsos, en lugar de actuar sobre ellos.;6510
442033;Animar al paciente a que elija un refuerzo/recompensa que sea lo suficientemente importante como para mantener la conducta.;4420
486018;Animar al paciente a que escriba a viejos amigos o parientes.;4860
185010;Animar al paciente a que establezca una rutina a la hora  de irse a la cama para facilitar la transición del estado de vigilia al de sueño.;1850
022120;"Animar al paciente a que esté ""levantado por su propia voluntad"", si procede.";0221
436010;Animar al paciente a que examine su propia conducta.;4360
527007;Animar al paciente a que exprese los sentimientos de ansiedad, ira o tristeza.;5270
651010;Animar al paciente a que exprese los sentimientos de una forma adecuada.;6510
645007;Animar al paciente a que fundamente las creencias ilusorias con las personas en quienes confía (prueba de realidad).;6450
435412;Animar al paciente a que hable con los cuidadores cuando surja el impulso de autolesionarse.;4354
442032;Animar al paciente a que identifique recompensas adecuadas, que tengan sentido.;4420
442005;Animar al paciente a que identifique sus propios objetivos, no los que cree que espera el cuidador.;4420
432016;Animar al paciente a que juegue con los animales de la terapia.;4320
103024;Animar al paciente a que lleve anotaciones diarias en las que restringe sus sentimientos, así como las circunstancias de entorno que le llevan a purgarse, vomitar o hacer ejercicio en exceso.;1030
641009;Animar al paciente a que lleve puesta una etiqueta de alerta médica, si procede.;6410
529007;Animar al paciente a que manifieste verbalmente los recuerdos de la pérdida.;5290
476013;Animar al paciente a que participe en grupos de programas de entrenamiento de la memoria, si procede.;4760
049009;Animar al paciente a que permanezca en decúbito lateral para facilitar el retorno del intestino al recto de forma natural.;0490
146020;Animar al paciente a que practique entre las sesiones regulares con al enfermera.;1460
325004;Animar al paciente a que realice una respiración profunda, la mantenga durante dos segundos y tosa 2 o 3 veces de forma sucesiva.;3250
325003;Animar al paciente a que realice varias respiraciones profundas.;3250
497615;Animar al paciente a que repita las palabras.;4976
592018;Animar al paciente a que respire profundamente para intensificar el estado de relajación y disminuir la tensión;5920
148015;Animar al paciente a que respire profundamente y a que se relaje durante el masaje.;1480
410610;Animar al paciente a que se relaje.;4106
112007;Animar al paciente a que seleccione alimentos semi blandos si la falta de saliva dificulta la deglución.;1120
533021;Animar al paciente a que tome decisiones cada vez más complejas según sea capaz.;5330
451003;Animar al paciente a que tome el control de su propia conducta.;4510
533022;Animar al paciente a que tome un papel activo en el tratamiento y rehabilitación, si procede.;5330
276018;Animar al paciente a que toque y utilice la parte corporal afectada.;2760
327006;Animar al paciente a que tosa y expectore.;3270
287006;Animar al paciente a que tosa y respire profundamente.;2870
110018;Animar al paciente a que utilice dentaduras de ajuste correcto y/o que obtenga cuidados dentales.;1100
592030;Animar al paciente a que utilice la autoinducción independiente del cuidador para manejar el problema bajo tratamiento ;5920
266003;Animar al paciente a que utilice la parte corporal no afectada para determinar la temperatura de la comida, líquidos, agua del baño, etc.;2660
266004;Animar al paciente a que utilice la parte corporal no afectada para identificar la localización y la textura de los objetos.;2660
266012;Animar al paciente a que utilice zapatos flexibles, con buena horna y de tacón bajo.;2660
406209;Animar al paciente a realizar ejercicio conforme a su tolerancia.;4062
406611;Animar al paciente a realizar ejercicios de series de movimientos pasivos o activos, en especial de las extremidades inferiores, mientras esté en la cama.;4066
584015;Animar al paciente a realizar la sesión tres veces al día.;5840
180007;Animar al paciente a realizar las actividades normales de la vida diaria ajustadas al nivel de capacidad.;1800
238036;Animar al paciente a realizarse análisis para determinar los efectos de la medicación.;2380
437009;Animar al paciente a recompensar a sí mismo por los resultados exitosos.;4370
539001;Animar al paciente a reconocer y discutir sus pensamientos y sentimientos.;5390
132008;Animar al paciente a relajarse durante la estimulación.;1320
022105;Animar al paciente a sentarse en la cama, en un lado de la cama o en una silla, según tolerancia.;0221
562205;Animar al paciente a ser selectivo a la hora de elegir compañeros sexuales.;5622
500019;Animar al paciente a tomarse el tiempo necesario para expresarse.;5000
449016;Animar al paciente a unirse a un grupo de apoyo para dejar de fumar que se reúne semanalmente.;4490
649012;Animar al paciente a utilizar un bastón o un andador, si procede.;6490
562215;Animar al paciente con alto riesgo de padecer enfermedades de transmisión sexual a pasar exámenes regulares.;5622
342001;Animar al paciente en la decisión de amputar, si es posible, dado que la participación es un factor importante para la adaptación postoperatoria y rehabilitación.;3420
584011;Animar al paciente para que permanezca relajado otros 15 o 20 minutos.;5840
449031;Animar al paciente que intenta dejar de fumar otra vez.;4490
409636;Animar al paciente y a la familia a asistir a clases de RCP.;4096
526005;Animar al paciente y a la familia a compartir los sentimientos sobre la muerte.;5260
647018;Animar al paciente, cuando corresponda, a que se sienta comprometido a continuar con l tratamiento (contrato).;6470
533033;Animar al paciente, según pueda tolerarlo, a relacionarse socialmente y realizar actividades con otros.;5330
048011;Animar al paciente/ cuidador a expresar los sentimientos e inquietudes acerca del cambio de imagen corporal.;0480
740030;Animar al paciente/familia a que haga preguntas sobre los servicios y costes.;7400
763020;Animar al paciente/familia a realizar preguntas acerca de los servicios y de los precios.;7630
436213;Animar al paciente/seres queridos a que valoren los resultados esperados de la interacción social, establezcan recompensas para los resultados positivos y solucionen los problemas con resultados menos deseables.;4362
675007;Animar al padre a que observe el parto, resulta oportuno.;6750
696002;Animar al padre o ser querido a que participe en los cuidados prenatales.;6960
671044;Animar al padre y a la madre a que acompañen al bebé cuando es trasladado a otro hospital.;6710
671012;Animar al padre/ser querido a participar en el parto.;6710
645008;Animar al parecer a que cuente las ilusiones a los cuidadores antes de actuar sobre ellas.;6450
783029;Animar al personal a resolver sus propios problemas.;7830
695006;Animar al ser querido a que apoye a la paciente antes, durante y después del aborto, si se desea.;6950
412022;Animar al ser querido a que ayude al paciente con las comidas, si procede.;4120
180614;Animar al sujeto para que aprenda a trasladarse autónomamente.;1806
640015;Animar el ingreso del niño/adulto dependiente para una observación e investigación más profunda, si procede.;6400
640414;Animar el ingreso del paciente para una mejor observación e investigación, cuando corresponda.;6404
704010;Animar la aceptación de independencia entre los miembros de la familia.;7040
441026;Animar la aceptación de objetivos parciales con satisfacción.;4410
640215;Animar la admisión del niño para una mejor observación e investigación, si es preciso.;6402
435618;Animar la expresión adecuada de sentimientos sobre situaciones del pasado o crisis traumáticas.;4356
640319;Animar la expresión de preocupaciones y sentimientos, incluyendo miedo, culpabilidad, desconcierto y autoculpabilidad.;6403
441001;Animar la identificación de valores vitales específicos.;4410
523043;Animar la implicación familiar, si procede.;5230
582015;Animar la manifestación de sentimientos, percepciones y miedos.;5820
672039;Animar la manifestación verbal de preguntas o inquietudes acerca de la experiencia del parto y del recién nacido.;6720
683005;Animar la participación de la familia en el proceso del parto de forma coherente con las metas de la paciente.;6830
432012;Animar la repetición de caricias al animal de la terapia.;4320
714024;Animar la toma de decisiones familiares en la planificación de los cuidados del paciente a largo plazo que afecten a la estructura y a la economía familiar.;7140
171005;Animar y ayudar al paciente a lavarse la boca.;1710
542006;Animar y participar en interacciones con miembros de la familia, amigos y demás.;5420
022415;Animarle a visualizar el movimiento corporal antes de comenzar el movimiento.;0224
661224;Anotar cualquier analgésico administrados a la madre durante el período intraparto.;6612
426009;Anotar el color, cantidad y frecuencia de deposiciones, vómitos y drenaje nasogástrico.;4260
335002;Anotar el movimiento torácico, mirando la simetría, utilización de músculos accesorios y retracciones de músculos intercostales y supraclaviculares.;3350
794014;Anotar el orden de las heridas y por qué se sabe que es la primera, segunda, etc., si es posible.;7940
316023;Anotar el tipo y cantidad de secreciones obtenidas.;3160
665030;Anotar el tipo y la cantidad de drenaje de los tubos y orificios, y notificar al médico los cambios importantes.;6650
769005;Anotar hora y sitio de la recogida de especimenes, si procede.;7690
257006;Anotar la altura y el peso del paciente en la historia clínica.;2570
335017;Anotar la aparición, características y duración de la tos.;3350
426008;Anotar la existencia de magulladuras, petequia y el estado de las membranas mucosas.;4260
794039;Anotar la fecha, hora, tipo y método de recogida de todas las muestras.;7940
409120;Anotar la frecuencia y duración de la disritmias.;4091
409205;Anotar la frecuencia y la duración de las arritmias.;4092
230702;Anotar la historia médica  y la historia de alergias del paciente.;2307
653009;Anotar la historia médica y de alergias del paciente.;6530
230102;Anotar la historia médica y la historia de alergias del paciente.;2301
059005;Anotar la hora de la última eliminación urinaria, si procede.;0590
292025;Anotar la información pertinente en el registro de operaciones.;2920
697213;Anotar la interpretación de la tira de registro, las actividades realizadas, los resultados fetales y la respuesta materna.;6972
761018;Anotar la limpieza y el mantenimiento realizados, según se requiera.;7610
661225;Anotar la presencia de distrés fetal.;6612
661226;Anotar la presencia de hipoxia en el bebé.;6612
335007;Anotar la ubicación de la tráquea.;3350
175012;Anotar las características del drenaje.;1750
352009;Anotar las características del drenaje.;3520
187601;Anotar las características del líquido drenado.;1876
792006;Anotar las valoraciones y las actividades de cuidados mediante los formularios/hojas de informes específicos de la institución.;7920
335015;Anotar los cambios de SaO2, SvO2 y CO2 corriente final y los cambios de los valores de gases en sangre arterial, si procede.;3350
670017;Anotar los cambios producidos en el seguimiento de la monitorización electrónica durante el parto.;6700
661216;Anotar los medicamentos que haya podido recibir la madre durante el período prenatal.;6612
661223;Anotar los medicamentos recibidos por la madre durante el período intraparto.;6612
401002;Anotar los niveles de hemoglobina/hematocrito antes y después de la pérdida de sangre, si está indicado.;4010
402004;Anotar los niveles de hemoglobina/hematócrito antes y después de la pérdida de sangre, si está indicado.;4020
402408;Anotar los niveles de hemoglobina/hematócrito antes y después de la pérdida de sangre, si está indicado.;4024
425402;Anotar los signos y síntomas de disminución del gasto cardíaco.;4254
668002;Anotar tendencias y fluctuaciones de la presión sanguínea.;6680
665623;Anotar tipo, cantidad y aparición de la pérdida vaginal.;6656
105621;Antes de cada alimentación intermitente, comprobar si hay residuos.;1056
257038;Antes de dar medicación oral, alimentos o líquidos,a asegurarse de que el paciente ha recuperado el reflejo nauseoso.;2570
133006;Antes de su uso tópico, diluir los aceites esenciales con los aceites portadores adecuados.;1330
643002;Antes de utilizar sujeciones, proporcionar actividades de distracción (p. ej., televisión, visitas).;6430
133003;Antes de utilizar un aroma, determinar la respuesta del individuo al aroma elegido (p. ej., le gusta o le disgusta).;1330
535011;Antes del traslado, realizar los arreglos necesarios en los objetos personales del individuo que debe colocar.;5350
257014;Antes y después del procedimiento en pacientes insulinodependientes, obtener una lectura rápida de glucosa en sangre.;2570
257016;Antes y durante el tratamiento administrar la medicación prescrita por el médico.;2570
711027;Anticipar e identificar las necesidades de la familia.;7110
626003;Anticipar la conveniencia de los órganos para la donación, dependiendo de los criterios de la muerte.;6260
212016;Anticiparse a aquellas situaciones en las que aumentarán las necesidades de insulina (enfermedad interrecurrente).;2120
604014;Anticiparse a la necesidad del uso de la relajación.;6040
697222;Anticiparse a las necesidades del tipo de parto o apoyo del recién nacido, en función de las respuestas fetales a las técnicas de resucitación.;6972
435409;Anticiparse a las situaciones desencadenantes que puedan provocar la autolesión e intervenir para evitarlas.;4354
290007;Anticiparse y proporcionar los suministros e instrumentos necesarios durante el procedimiento.;2900
405009;Aplazar el baño, si está indicado.;4050
366024;Aplicar TENS (estimulación nerviosa eléctrica transcutánea) para favorecer la curación de la herida, si procede.;3660
167006;Aplicar aceite mineral al cuero cabelludo, si es necesario.;1670
358434;Aplicar agente antiinflamatorio tópico a la zona afectada, si está indicado.;3584
366103;Aplicar agentes tópicos a la herida, si procede.;3661
173022;Aplicar anestésicos tópicos, pastas de protección bucal o analgésicos sistémicos, si es preciso.;1730
358426;Aplicar antibióticos tópicos a la zona afectada, si procede;3584
344012;Aplicar antiséptico, según prescripción.;3440
406605;Aplicar apósitos adecuados al tamaño y al tipo de herida, según sea conveniente.;4066
358302;Aplicar apósitos de algodón o gasa mantener la tensión adecuada en la zona del injerto, según protocolo de la institución.;3583
344011;Aplicar bandas o tiras de cierre, si procede.;3440
354009;Aplicar barreras de protección, como cremas o compresas absorbentes, para eliminar el exceso de humedad, si procede.;3540
374019;Aplicar bolsas de hielo cubiertas con una toalla en las ingles y las axilas, si procede.;3740
138013;Aplicar calor / frío directamente cerca del sitio afectado, si fuera posible.;1380
352004;Aplicar calor húmedo a la úlcera para mejorar la perfusión sanguínea y el aporte de oxígeno a la zona.;3520
677222;Aplicar catéter de presión intrauterina después de la rotura de membranas, cuando sea necesario,para obtener datos para la presión de las contracciones uterinas y tono en reposo.;6772
672036;Aplicar compresa perineal.;6720
683047;Aplicar compresas calientes, si procede.;6830
175011;Aplicar compresas para absorber el drenaje, según se precise.;1750
355007;Aplicar crema antihistamínica, según sea conveniente.;3550
355004;Aplicar cremas y lociones medicamentosas, según sea conveniente.;3550
165011;Aplicar cámara de humedad, si procede.;1650
677204;Aplicar de forma cómoda tocotransductores  para observar la frecuencia y la duración de las contracciones.;6772
677111;Aplicar de forma cómoda tocotransductores para observar la frecuencia y la duración de las contracciones.;6771
074008;Aplicar dispositivos que eviten los pies equinos.;0740
330208;Aplicar el dispositivo no invasivo asegurando un ajuste adecuado y evitar grandes fugas de aire (cuidado en pacientes desdentados o con barba).;3302
231607;Aplicar el fármaco tópico según esté prescrito.;2316
419013;Aplicar el torniquete 10 o 12 cm por encima del sitio de punción, si procede.;4190
362017;Aplicar el vendaje, si procede.;3620
677221;Aplicar electrodo fetal interno después de la rotura de membranas, cuando sea necesario, para reducir artefacto o para valorar la variabilidad a corto plazo.;6772
358427;Aplicar emolientes a la zona afectada;3584
063029;Aplicar estrógenos tópicos para reducir la inflamación, según sea necesario.;0630
175005;Aplicar frío en la zona, si procede.;1750
355008;Aplicar frío para aliviar la irritación.;3550
165008;Aplicar gotas lubricantes, si procede.;1650
424003;Aplicar grasa estéril, ungüento y apósito al lugar del catéter de diálisis venosa central con cada tratamiento.;4240
624006;Aplicar hielo a la parte afectada del cuerpo, si está indicado.;6240
076416;Aplicar hielo durante las primeras 24 a 36 horas para reducir la hinchazón o la inflamación, si está indicado.;0764
076216;Aplicar hielo durante las primeras 24 a 36 horas para reducir la hinchazón o la inflamación.;0762
402602;Aplicar hielo en el fundus.;4026
402405;Aplicar hielo en la zona afectada.;4024
402802;Aplicar hielo en la zona afectada.;4028
292019;Aplicar la almohadilla de toma a tierra en una parte de la piel que esté seca, intacta y con mínima cantidad de vello, sobre una masa muscular grandes y lo más cerca posible del sitio de la operación.;2920
134005;Aplicar la estimulación directamente sobre o alrededor del sitio afectado, según esté indicado.;1340
084412;Aplicar la ortosis de collarín.;0844
166005;Aplicar loción.;1660
409003;Aplicar los electrodos de ECG y conectar al monitor cardíaco.;4090
154007;Aplicar los electrodos en la zona de estimulación.;1540
409505;"Aplicar los parches o las palas de acuerdo con las instrucciones de la máquina (p. ej., las palas necesitan un agente de conducción; los parches vienen preparados con un agente de conducción).";4095
358410;Aplicar los pañales sin comprimir, si procede;3584
358407;Aplicar lubricante para humedecer los labios y la mucosa bucal, si es necesario;3584
172009;Aplicar lubricante para humedecer los labios y la mucosa bucal, si es necesario.;1720
171002;Aplicar lubricantes para humedecer los labios y la mucosa oral, si es necesario.;1710
175006;Aplicar lámpara de calor, cuando esté indicado.;1750
293027;Aplicar mangas de dispositivo de comprensión secuencial, si procede.;2930
411003;Aplicar medias antiembolia (medias elásticas o neumáticas), si corresponde.;4110
187505;Aplicar medicación antiséptica al muñón umbilical, según el protocolo.;1875
074022;Aplicar medidas profilácticas antiembólicas.;0740
406608;Aplicar modalidades de terapia de compresión (vendajes de larga/corta extensión), según sea conveniente.;4066
683014;Aplicar monitor electrónico fetal, según protocolo o si procede, para obtener información adicional.;6830
697214;Aplicar monitores internos una vez que se han roto las membranas amnióticas para obtener más información acerca de la respuesta de la frecuencia cardíaca fetal a la actividad uterina.;6972
697207;Aplicar oxígeno, de 6 a 8 l, si la posición no resulta eficaz en la corrección del esquema anormal o dudoso de la frecuencia cardíaca fetal.;6972
268007;Aplicar oxígeno, si procede.;2680
687004;Aplicar paquetes de hielo a la zona axilar de los pechos durante 20 minutos cuatro veces al día y en casa, si si es necesario.;6870
692407;Aplicar parches para cubrir los ojos, evitando ejercer demasiada presión.;6924
231608;Aplicar parches transdérmicos y medicaciones tópicas en zonas de la piel sin vello, según sea conveniente.;2316
166007;Aplicar polvos absorbentes, si está indicado.;1660
358423;Aplicar polvos secantes en los pliegues de piel profundos;3584
161011;Aplicar polvos secantes en los pliegues profundos de la piel.;1610
620014;Aplicar prenda antishock, cuando proceda.;6200
187519;Aplicar presión al ombligo o grapar los vasos con una pinza hemostática.;1875
230713;Aplicar presión con el dedo índice al depósito para asegurar la mezcla del medicamento con  el líquido cefalorraquídeo.;2307
402016;Aplicar presión directa o vendaje de presión, si procede.;4020
402401;Aplicar presión manual sobre el puente de la nariz.;4024
416004;Aplicar presión manual sobre el punto hemorrágico o la zona potencialmente hemorrágica.;4160
620009;Aplicar presión manual sobre el sitio de la hemorragia, cuando corresponda.;6200
402801;Aplicar presión manual sobre la zona hemorrágica o potencialmente hemorrágica.;4028
423211;Aplicar presión sobre el sitio durante 5 a 15 minutos.;4232
330209;Aplicar protección facial si es necesario para evitar daño por presión en la piel.;3302
165005;Aplicar protección ocular, si procede.;1650
350016;Aplicar protectores de talones, si lo precisa el caso.;3500
354024;Aplicar protectores para los codos y los talones, si procede.;3540
358422;Aplicar protectores para los talones, si es el caso;3584
211013;Aplicar restricciones, según sea conveniente.;2110
654522;Aplicar solución antimicrobiana en la zona de incisión, según normas del centro.;6545
346012;Aplicar suavemente la sanguijuela en el sitio con fórceps.;3460
435021;Aplicar sujeciones en muñecas/piernas/pecho, si es necesario.;4350
105603;Aplicar sustancias de anclaje a la piel y fijar el tubo de alimentación con esparadrapo.;1056
022612;Aplicar tablillas para conseguir la estabilidad de las articulaciones proximales implicadas en las habilidades motoras finas, según prescripción.;0226
654521;Aplicar toallas de absorción para evitar la acumulación de la solución antimicrobiana.;6545
672028;Aplicar tracción controlada del cordón umbilical, ala vez que se protege el fondo del útero.;6720
677206;Aplicar transductores de ultrasonido a la zona del útero en la que se oyen los sonidos cardíacos fetales y los trozos son claros.;6772
677112;Aplicar transductores de ultrasonidos a la zona del útero en la que se oyen los sonidos cardíacos fetales y trazarlos claramente.;6771
358428;Aplicar un antifúngico tópico en la zona afectada, si es preciso;3584
352010;Aplicar un apósito adhesivo permeable a la úlcera, según corresponda.;3520
358425;Aplicar un apósito oclusivo limpio (Tegaderm o Duoderm), si es necesario;3584
419024;Aplicar un apósito transparente pequeño en el sitio de inserción i.v.;4190
624004;Aplicar un cabestrillo, si corresponde.;6240
620023;Aplicar un collar cervical, si procede.;6200
358429;Aplicar un desbridante tópico en la zona afectada, cuando se requiera;3584
358413;Aplicar un dispositivo de ostomía que encaje adecuadamente, cuando se precise;3584
048004;Aplicar un dispositivo de ostomía que se adapte adecuadamente, si es necesario.;0480
231805;"Aplicar un lubricante hidrosoluble en el extremo redondeado del supositorio ; lubricar el dedo índice enguantado de la mano dominante.";2318
076209;Aplicar un soporte de brazo como apoyo , si corresponde.;0762
423505;Aplicar un torniquete central al lugar i.v. periférico, sólo si es necesario.;4235
641204;Aplicar un torniquete inmediatamente junto al punto alérgeno de entrada (p. ej., sitio de inyección, sitio i.v., picadura de insecto, etc.), cuando sea posible, según sea necesario.;6412
366010;Aplicar un ungüento adecuado a la piel/lesión, si procede.;3660
344015;Aplicar un vendaje adecuado para proteger la incisión.;3440
366011;Aplicar un vendaje apropiado al tipo de herida.;3660
368019;Aplicar un vendaje estéril, si procede.;3680
416005;Aplicar una bolsa de hielo en la zona afectada.;4160
384019;Aplicar una manta de hipertemia.;3840
231714;"Aplicar una presión suave en el sitio; evitar masajearlo.";2317
546005;Aplicar una presión suave en la muñeca, mano u hombro del paciente gravemente enfermo;5460
132016;Aplicar una presión uniforme hasta que remita la náusea o mantener las muñequeras de manera indefinida durante la náusea real o anticipada.;1320
132013;Aplicar una presión uniforme sobre el tejido muscular hipertónico buscando el dolor hasta que se sienta relajación o se observe la disminución del dolor, normalmente de 15 a 20 segundos.;1320
419026;Aplicar una tablilla para apoyar el brazo teniendo cuidado de no comprometer la circulación, si se precisa.;4190
423215;Aplicar una venda de presión sobre el sitio, si procede.;4232
165009;Aplicar ungüento lubricante, si corresponde.;1650
161009;Aplicar ungüentos y crema hidratante en las zonas de piel seca.;1610
352012;Aplicar ungüentos, si procede.;3520
300014;Aplicar vaselina líquida y/o apósito, si procede.;3000
416001;Aplicar vendaje comprensivo, si está indicado.;4160
620010;Aplicar vendaje de presión, si es preciso.;6200
423818;Aplicar vendaje, si procede;4238
687008;Aplicar vendajes comprensivos en los pechos, si procede.;6870
402803;Aplicar vendajes de presión en el sitio de la hemorragia.;4028
230714;Aplicar vendajes en el sitio, si procede.;2307
352013;Aplicar vendajes, si está indicado.;3520
286508;Aplicar y fijar la sujeción del torniquete alrededor de la extremidad, evitando las zonas neuromusculares y asegurándose de que la piel no resulte pellizcada.;2865
654528;Aplicar y fijar los vendajes quirúrgicos.;6545
292022;Aplicar y utilizar una funda para guardar el electrodo activo durante la cirugía.;2920
022113;Aplicar/proporcionar un dispositivo de ayuda (bastón, muletas o silla de ruedas, etc) para la deambulación si el paciente no camina bien.;0221
802013;Aportar los datos que faciliten la valoración del plan de cuidados del paciente.;8020
794005;Aportar sólo hechos (p. ej., qué se examinó, qué era normal [negativos pertinentes], qué era anormal) que se vieron en el momento del examen.;7940
684018;Apoya a la madre en la alimentación y en los cuidados del bebé.;6840
714028;Apoyar a la familia adoptiva facilitándole información, si es el caso.;7140
678606;Apoyar a la paciente en el historial y la evaluación de la infertilidad, reconociendo el estrés experimentado a menudo en la obtención de un historial detallado y durante el largo proceso de evaluación y tratamiento.;6786
678807;Apoyar a la paciente y al ser querido en la decisión sobre el embarazo.;6788
293035;Apoyar a los miembros de la familia, si procede.;2930
704031;Apoyar al cuidador a establecer límites y a cuidar de sí mismo.;7040
704020;Apoyar al cuidador mediante procesos de quejas.;7040
293030;Apoyar al paciente con alto nivel de ansiedad/miedo.;2930
449018;Apoyar al paciente con un método de autoayuda.;4490
692605;Apoyar al paciente en el uso del tratamiento.;6926
548021;Apoyar al paciente en la comunicación de los propios valores a otros.;5480
464021;Apoyar al paciente en la puesta en práctica de estrategias de control del enfado y en la manifestación adecuada del mismo.;4640
449030;Apoyar al paciente que vuelve a fumar ayudándole a valorar lo que ha aprendido.;4490
526006;Apoyar al paciente y a la familia en los estadios de pena.;5260
091002;Apoyar con soporte la parte corporal afectada.;0910
562407;Apoyar el papel de los padres como principales educadores sexuales de sus hijos.;5624
524214;Apoyar el proceso de afrontamiento del paciente.;5242
523032;Apoyar el uso de mecanismos de defensa adecuados.;5230
527005;Apoyar el uso de mecanismos de defensa adecuados.;5270
582020;Apoyar el uso de mecanismos de defensa adecuados.;5820
076403;Apoyar el yeso sobre almohadas durante el período de secado.;0764
084207;Apoyar la cabeza y el cuello durante la transferencia.;0842
103021;Apoyar la ganancia de peso y las conductas que promueven la ganancia de peso.;1030
