Código-Indicador;Titulo-Indicador;Código-Escala;Código-Resultado
101012;Atragantamiento, tos o náuseas.;3;1010
101013;Esfuerzo deglutorio.;3;1010
101014;Reflujo gástrico.;3;1010
101015;Mantiene la cabeza relajada y el tronco erecto.;4;1010
101016;Acepta la comida.;4;1010
101017;Incomodidad con la deglución.;3;1010
101018;Estudio de la deglución.;4;1010
101020;Tos.;3;1010
101021;Mordaza.;3;1010
101101;Atragantamiento y/o tos con la deglución.;3;1011
101102;Reflujo gástrico.;3;1011
101103;Dolor epigástrico.;3;1011
101104;Incomodidad con la deglución.;3;1011
101106;Mantiene la cabeza relajada y el tronco erecto.;4;1011
101108;Tos nocturna.;3;1011
101109;Vómitos nocturnos.;3;1011
101110;Degluciones repetitivas.;3;1011
101111;Hematemesis.;3;1011
101112;Aliento ácido.;3;1011
101113;Bruxismo.;3;1011
101114;Aceptación de la comida.;4;1011
101115;Aceptación del volumen.;4;1011
101116;Estudio de deglución fase esofágica.;4;1011
101118;Tos al tragar.;3;1011
101119;Ahogo por la noche.;3;1011
101201;Mantiene la comida en la boca.;4;1012
101202;Controla las secreciones orales.;4;1012
101203;Formación del bolo alimentario.;4;1012
101204;Momento de formación del bolo alimentario.;4;1012
101205;Capacidad de masticación.;4;1012
101206;Distribución del bolo a la hipofarige en concordancia con el reflejo de deglución.;4;1012
101207;Capacidad para limpiar la cavidad oral.;4;1012
101208;Atragantamiento, tos y náuseas antes de la deglución.;3;1012
101209;Cierre de los labios.;4;1012
101210;Número de degluciones apropiadas para el tamaño/textura del bolo.;4;1012
101211;Eficacia de la mordedura.;4;1012
101212;Tasa de consumo alimentario.;4;1012
101213;Reflujo nasal.;3;1012
101214;Reflejo nauseoso.;4;1012
101215;Estudio de deglución: fase oral.;4;1012
101217;Ahogo antes de tragar.;3;1012
101218;Mordaza antes de tragar.;3;1012
101301;Momento del reflejo de deglución.;4;1013
101302;Cambios en la calidad de la voz.;3;1013
101303;Atragantamiento, tos o náuseas.;3;1013
101304;Número de degluciones apropiadas para la textura/tamaño del bolo.;4;1013
101305;Mantiene una posición neutra de la cabeza.;4;1013
101306;Esfuerzo deglutorio aumentado.;3;1013
101307;Elevación laríngea.;4;1013
101310;Reflujo nasal.;3;1013
101311;Aceptación de la comida.;4;1013
101312;Estudio de deglución fase faríngea;4;1013
101314;Tos.;3;1013
101315;Mordaza.;3;1013
101316;Aspiraciones.;3;1013
101401;Deseo de comer.;4;1014
101402;Ansias por la comida.;4;1014
101403;Disfrute con la comida.;4;1014
101404;Gusto agradable de la comida.;4;1014
101405;Informa de energía para comer.;4;1014
101406;Ingesta de alimentos.;4;1014
101407;Ingesta de nutrientes.;4;1014
101408;Ingesta de líquidos.;4;1014
101409;Estímulos para comer.;4;1014
101501;Tolerancia alimentos/alimentación.;4;1015
101502;Perímetro abdominal.;4;1015
101503;Frecuencia de deposiciones.;4;1015
101504;Color de las deposiciones.;4;1015
101505;Consistencia de las deposiciones.;4;1015
101506;Volumen de las deposiciones.;4;1015
101507;Temperatura axilar.;4;1015
101508;Ruidos abdominales.;4;1015
101509;Aspirados gástricos: color.;4;1015
101510;Aspirados gástricos: cantidad de residuos.;4;1015
101511;Color de la piel sobre el abdomen.;4;1015
101512;Nivel de actividad.;4;1015
101513;Dolor.;3;1015
101514;Distensión abdominal.;3;1015
101515;Dolorimiento abdominal.;3;1015
101516;Regurgitación.;3;1015
101517;Aumento de peristaltismo visible.;3;1015
101518;Movimientos bruscos.;3;1015
101519;Apretar los puños.;3;1015
101520;Sangre en las heces.;3;1015
101521;Elevación del recuento de leucocitos.;3;1015
101522;Disminución del recuento de leucocitos.;3;1015
101523;Recuento diferencial de leucocitos.;3;1015
110001;Limpieza de la boca.;4;1100
110002;Limpieza de los dientes.;4;1100
110003;Limpieza de encías.;4;1100
110004;Limpieza de la lengua.;4;1100
110005;Limpieza de dentaduras.;4;1100
110006;Limpieza de prótesis dentarias.;4;1100
110007;Ajuste de la dentadura postiza.;4;1100
110008;Ajuste de las prótesis dentarias.;4;1100
110009;Humedad labial.;4;1100
110010;Humedad de la mucosa oral y de la lengua.;4;1100
110011;Color de las mebranas mucosas.;4;1100
110012;Integridad de la mucosa oral.;4;1100
110013;Integridad lingual.;4;1100
110014;Integridad de las encías.;4;1100
110017;Halitosis.;3;1100
110018;Sangrado.;3;1100
110021;Dolor.;3;1100
110022;Lesiones en la mucosa oral.;3;1100
110023;Caries dental.;3;1100
110024;Gingivitis.;3;1100
110025;Enfermedad periodontal.;3;1100
110101;Temperatura de la piel.;4;1101
110102;Sensibilidad.;4;1101
110103;Elasticidad.;4;1101
110104;Hidratación.;4;1101
110105;Pigmentación anormal.;3;1101
110106;Transpiración.;4;1101
110108;Textura.;4;1101
110109;Grosor.;4;1101
110111;Perfusión tisular.;4;1101
110112;Crecimiento del vello cutáneo.;4;1101
110113;Integridad de la piel.;4;1101
110115;Lesiones cutáneas.;3;1101
110116;Lesiones de la membrana mucosa.;3;1101
110117;Tejido cicatricial.;3;1101
110118;Cánceres cutáneos.;3;1101
110119;Descamación cutánea.;3;1101
110120;Raspado cutáneo.;3;1101
110121;Eritema.;3;1101
110122;Palidez;3;1101
110123;Necrosis.;3;1101
110124;Induración.;3;1101
110201;Aproximación cutánea.;7;1102
110202;Supuración purulente.;13;1102
110203;Secreción serosa de la herida.;13;1102
110204;Secreción snaguinolenta de la herida.;13;1102
110205;Secreción serosanguinolenta de la herida.;13;1102
110206;Secreción sanguínea del drenaje.;13;1102
110207;Secreción serosanguinolenta del drenaje.;13;1102
110208;Eritema cutáneo circundante.;13;1102
110209;Edema perilesional.;13;1102
110210;Aumento de la temperatura cutánea.;13;1102
110211;Olor de la herida.;13;1102
110213;Aproximación de los bordes.;7;1102
110214;Formación de cicatriz.;7;1102
110215;Contusión cutánea circundante.;13;1102
110301;Granulación.;7;1103
110303;Secreción purulenta.;13;1103
110304;Secreción serosa.;13;1103
110305;Secreción sanguinolenta.;13;1103
110306;Secreción serosanguinolenta.;13;1103
110307;Eritema cutáneo circundante.;13;1103
110308;Edema perilesional.;13;1103
110310;Ampollas cutáneas.;13;1103
110311;Piel macerada.;13;1103
110312;Necrosis.;13;1103
110313;Costra.;13;1103
110314;Fistulación.;13;1103
110315;Excavación.;13;1103
110316;Formación del tracto sinusal.;13;1103
110317;Olor de la herida.;13;1103
110320;Formación de cicatriz.;7;1103
110321;Disminución del tamaño de la herida.;7;1103
110322;Inflamación de la herida.;13;1103
110401;Hematoma.;13;1104
110402;Proliferación celular.;7;1104
110403;Formación de callo.;7;1104
110404;Osificación, consolidación y remodelación.;7;1104
110405;Circulación ERE.;7;1104
110406;Recuperación de la función ósea.;7;1104
110407;Dolor.;13;1104
110408;Edema.;13;1104
110410;Infección del tejido circundante.;13;1104
110411;Infección ósea.;13;1104
110501;Flujo de volumen de sangre a través del shunt/fístula.;4;1105
110502;Coloración cutánea local.;4;1105
110503;Supuración local.;3;1105
110505;Soplo.;4;1105
110506;Temblor.;4;1105
110507;Hematoma local.;3;1105
110508;Hemorragia local.;3;1105
110509;Pulsos periféricos distales.;4;1105
110510;Temperatura cutánea periférica distal.;4;1105
110511;Coloración cutánea periférica distal.;4;1105
110512;Edema periférico distal.;3;1105
110513;Situación del tubo.;3;1105
110514;Tiempo de coagulación.;4;1105
110515;Hipersensibilidad local.;3;1105
110517;Temperatura de la piel en el sitio de acceso.;4;1105
110601;Porcetaje de zona del injerto curada.;7;1106
110602;Porcentaje de zona de la quemadura curada.;7;1106
110603;Granulación tisular.;7;1106
110604;Movimiento articular de la extremidad afectada.;7;1106
110605;Perfusión tisular en la zona de la quemadura.;7;1106
110606;Dolor.;13;1106
110607;Infección.;13;1106
110608;Piel con ampollas.;13;1106
110609;Drenaje purulento.;13;1106
110610;Olor fétido de la herida.;13;1106
110611;Edema en la zona de la quemadura.;13;1106
110612;Dificultad respiratoria.;13;1106
110613;Necrosis tisular.;13;1106
110614;Proliferación celular.;7;1106
110701;Granulación tisular.;7;1107
110702;Perfusión tisular en la zona de la quemadura.;7;1107
110703;Porcentaje de quemadura curada.;7;1107
110704;Estabilidad de la temperatura.;7;1107
110705;Estabilidad electrolítica.;7;1107
110706;Equilibrio hídrico.;7;1107
110707;Capacidad de cuidados personales.;7;1107
110708;Movimiento articular de las extremidades.;7;1107
110709;Tolerancia a la ambulación.;7;1107
110710;Actitud positiva hacia el contacto con la parte afectada.;7;1107
110711;Adaptación psicológica a cambios en el aspecto físico.;7;1107
110712;Adaptación psicológica a cambios en la función corporal.;7;1107
110713;Dolor.;13;1107
110714;Disminución cognitiva.;13;1107
110715;Necesidad de medicación para el dolor.;13;1107
110716;Descenso de la saturación de oxígeno.;13;1107
110717;Dificultad respiratoria.;13;1107
110718;Pérdida de peso.;13;1107
110719;Infección.;13;1107
110720;Piel con ampollas.;13;1107
110721;Drenaje purulento.;13;1107
110722;Olor fétido de la herida.;13;1107
110723;Edema en la zona de la quemadura.;13;1107
110724;Necrosis tisular.;13;1107
110725;Edema generalizado.;13;1107
110726;Complicaciones gastrointestinales.;13;1107
110727;Descenso del volúmen urinario.;13;1107
110728;Injerto necesario en la zona de la quemadura.;13;1107
120001;Imagen interna de sí mismo.;10;1200
120002;Congruencia entre realidad corporal, ideal corporal e imagen corporal.;10;1200
120003;Descripción de la parte corporal afectada.;10;1200
120005;Satisfacción con el aspecto corporal.;10;1200
120006;Satisfacción con la función corporal.;10;1200
120007;Adaptación a cambios en el aspecto físico.;10;1200
120008;Adaptación a cambios en la función corporal.;10;1200
120009;Adaptación a cambios en el estado de salud.;10;1200
120013;Adaptación a cambios corporales por lesión.;10;1200
120014;Adaptación a cambios corporales por cirugía.;10;1200
120015;Adaptación a cambios corporales por envejecimiento.;10;1200
120016;Actitud hacia tocar la parte corporal afectada.;10;1200
120017;Actitud hacia la utilización de estrategias para mejorar el aspecto.;10;1200
120018;Actitud hacia la utilización de estrategias para mejorar la función corporal.;10;1200
120101;Expresión de una orientación futura positiva..;9;1201
120102;Expresión de confianza.;9;1201
120103;Expresión de ganas de vivir.;9;1201
120104;Expresión de razones para vivir.;9;1201
120105;Expresión de significado de la vida.;9;1201
120106;Expresión de optimismo.;9;1201
120107;Expresión de creencia en sí mismo.;9;1201
120108;Expresión de creencia en los demás.;9;1201
120109;Expresión de paz interior.;9;1201
120110;Expresión de sensación de autocontrol.;9;1201
120111;Demostración de entusiasmo por la vida.;9;1201
120112;Establecimiento de objetivos.;9;1201
120201;Verbaliza afirmaciones de indentidad personal.;9;1202
120202;Muestra una conducta verbal y no verbal congruente sobre sí mismo.;9;1202
120203;Verbaliza un sentido claro de identidad personal.;9;1202
120204;Diferencia el yo del medio ambiente.;9;1202
120205;Diferencia el yo de los otros seres humanos.;9;1202
120206;Percibe el ambiente adecuadamente.;9;1202
120207;Desempeña roles sociales.;9;1202
120208;Verbaliza un sistema de valores propio.;9;1202
120209;Cuestiona creencias erróneas sobre sí mismo;9;1202
120210;Cuestiona imágenes negativas de sí mismo.;9;1202
120211;Reconoce los conflictos interpersonales frente a los intrapersonales.;9;1202
120212;Establece lazos personales.;9;1202
120213;Verbaliza confianza en sí mismo.;9;1202
120301;Expresion de temor infundado.;3;1203
120302;Expresión de desesperación.;3;1203
120303;Expresión de inquietud extrema.;3;1203
120304;Expresión de desesperanza.;3;1203
120305;Expresión de ausencia de pertenencia.;3;1203
120306;Expresión de pérdida debido a la separación de otra persona.;3;1203
120307;Expresión de aislamiento social.;3;1203
120308;Expresión de no ser comprendido.;3;1203
120309;Expresión de ser excluido.;3;1203
120310;Quejas de que el tiempo parece eterno.;3;1203
120311;Dificultad para planificar.;3;1203
120312;Dificultad para establecer contacto con otras personas.;3;1203
120313;Dificultad para superar la separación.;3;1203
120314;Dificultar para tener una relación mutua eficaz.;3;1203
120315;Fluctuaciones en el estado de ánimo.;3;1203
120316;Disminución de la capacidad para concentrarse.;3;1203
120317;Debilidad.;3;1203
120318;Dificultad para tomar decisiones.;3;1203
120320;Trastornos del sueño.;3;1203
120321;Cefaleas.;3;1203
120322;Náuseas.;3;1203
120323;Hipoactividad.;3;1203
120324;Dolor.;3;1203
120325;Malestar espiritual.;3;1203
120327;Depresión.;3;1203
120328;Patrón de alimentación no saludable.;3;1203
120401;Muestra un afecto adecuado a la situación.;9;1204
120402;Muestra un estado de ánimo sereno.;9;1204
120403;Muestra control de los impulsos.;9;1204
120404;Refiere dormir de forma adecuada.;9;1204
120405;Muestra concentración.;9;1204
120406;Conversa a un ritmo moderado.;9;1204
120407;Conflicto de ideas.;12;1204
120408;Grandiosidad.;12;1204
120409;Euforia.;12;1204
120411;Se viste de forma apropiada para la situación y el clima.;9;1204
120412;Mantiene un peso estable.;9;1204
120413;Refiere apetito normal.;9;1204
120415;Muestra interés por lo que le rodea.;9;1204
120416;Ideas suicidas.;12;1204
120417;Refiere un nivel de energía estable.;9;1204
120418;Refiere capacidad para realizar las tareas diarias.;9;1204
120420;Depresión.;12;1204
120421;Letargo.;12;1204
120422;Hiperactividad.;12;1204
120423;Mantiene el arreglo y la higiene personal.;9;1204
120424;Expresa el seguimiento del régimen de medicación.;9;1204
120425;Expresa el seguimiento del régimen terapéutico.;9;1204
120501;Verbalizaciones de autoaceptación.;10;1205
120502;Aceptación de las propias limitaciones.;10;1205
120503;Mantenimiento de una postura erecta.;10;1205
120504;Mantenimiento del contacto ocular.;10;1205
120505;Descripción del yo.;10;1205
120506;Respeto por los demás.;10;1205
120507;Comunicación abierta.;10;1205
120508;Cumplimiento de los roles significativos personales.;10;1205
120509;Mantenimiento del cuidado/higiene personal.;10;1205
120510;Equilibrio entre participar y escuchar en grupos.;10;1205
120511;Nivel de confianza.;10;1205
120512;Aceptación de los cumplidos de los demás.;10;1205
120513;Respuesta esperada por los demás.;10;1205
120514;Aceptación de críticas constructivas.;10;1205
120515;Voluntad para enfrentarse a los demás.;10;1205
120517;Descripción de éxitos en grupos sociales.;10;1205
120518;Descripción de estar orgulloso.;10;1205
120519;Sentimientos sobre su propia persona.;10;1205
120521;Descripción de éxito en el trabajo.;10;1205
120522;Descripción de éxito en la escuela.;10;1205
120601;Expresión de determinación de vivir.;4;1206
120602;Expresión de esperanza.;4;1206
120603;Expresión de optimismo.;4;1206
120604;Expresión de sensación de control.;4;1206
120605;Expresión de sentimientos.;4;1206
120608;Utiliza estrategias para compensar los problemas relacionados con la enfermedad.;4;1206
120609;Utiliza estrategias para mejorar la salud.;4;1206
120610;Utiliza estrategias para alargar la vida.;4;1206
120613;Utiliza tratamientos para prolongar la vida.;4;1206
120614;Depresión;3;1206
120615;Pensamientos suicidas.;3;1206
120616;Pensamientos pesimistas.;3;1206
120617;Interés por su propia enfermedad.;4;1206
120618;Interés por el propio tratamiento.;4;1206
120701;Afirmación de yo como un ser sexual.;10;1207
120702;Sentido claro de la orientación sexual.;10;1207
120703;Aceptación de la orientación sexual.;10;1207
120704;Integración de la orientación sexual en los roles de la vida.;10;1207
120706;Conductas de superación saludables para resolver crisis de la identidad sexual.;10;1207
120707;Imágenes negativas de identficación del yo sexual.;10;1207
120708;Busca el soporte social.;10;1207
120709;Refiere relaciones íntimas saludables.;10;1207
120710;Refiere funcionamiento sexual saludable.;10;1207
120711;Describe el riesgo asociado con la actividad sexual.;10;1207
120712;Utiliza precauciones para minimizar el riesgo asociaciado con su actividad sexual.;10;1207
120713;Describe el sistema de valores sexuales personales.;10;1207
120714;Establece límites sexuales personales.;10;1207
120801;Estado de ánimo deprimido.;3;1208
120802;Pérdida de interés por actividades.;3;1208
120803;Ausencia de placer con actividades.;3;1208
120804;Concentración alterada.;3;1208
120805;Expresión de culpa inapropiada o excesiva.;3;1208
120806;Fatiga.;3;1208
120807;Expresión de sentimientos de indiferencia.;3;1208
120808;Retraso/agitación psicomotores.;3;1208
120809;Insomnio.;3;1208
120810;Ganancia de peso.;3;1208
120811;Aumento del apetito.;3;1208
120813;Ausencia de indecisión.;3;1208
120814;Tristeza.;3;1208
120815;Crisis de llanto.;3;1208
120816;Enfado.;3;1208
120817;Desesperación.;3;1208
120818;Soledad.;3;1208
120819;Baja autoestima.;3;1208
120820;Pérdida de la libido.;3;1208
120821;Nivel de actividad alterado.;3;1208
120822;Ausencia de espontaneidad.;3;1208
120823;Irritabilidad.;3;1208
120825;Escasa higiene / cuidado personal.;3;1208
120827;Eventos negativos de la vida.;3;1208
120828;Culpabilidad excesiva.;3;1208
120829;Agitación psicomotora.;3;1208
120830;Hipersomnia.;3;1208
120831;Pérdida de peso.;3;1208
120832;Disminución del apetito.;3;1208
120833;Drogas de uso recreativo.;3;1208
120834;Abuso del alcohol.;3;1208
120835;Pensamientos recurrentes de muerte.;3;1208
120836;Pensamientos recurrentes de suicidio.;3;1208
120901;Planes para el futuro.;9;1209
120902;Desarrolla un plan de acción.;9;1209
120903;Obtiene los recursos necesarios.;9;1209
120904;Obtiene el apoyo necesario.;9;1209
120905;Autoinicia conductas dirigidas hacia objetivos.;9;1209
120906;Busca nuevas experiencias.;9;1209
120907;Mantiene una autoestima positiva.;9;1209
120908;Acoge las oportunidades para realizar contribuciones.;9;1209
120910;Expresa la creencia en la capacidad para realizar la acción.;9;1209
120911;Expresa que la ejecución conducirá al resultado deseado.;9;1209
120912;Finaliza las tareas.;9;1209
120913;Acepta las responsabilidades de las acciones.;9;1209
120915;Expresa intención de actuar.;9;1209
120916;Mantiene la flexibilidad.;9;1209
120917;Anticipa la recompensa intrínseca.;9;1209
120918;Anticipa la recompensa extrínseca.;9;1209
121001;Distrés.;3;1210
121002;Tendencia a culpar a los demás.;3;1210
121003;Autoabsorción.;3;1210
121004;Falta de autoconfianza.;3;1210
121005;Inquietud.;3;1210
121006;Irritabilidad.;3;1210
121007;Explosiones de ira.;3;1210
121008;Dificultades de concentración.;3;1210
121009;Dificultades de aprendizaje.;3;1210
121010;Dificultades para resolver problemas.;3;1210
121011;Disminución del campo perceptual.;3;1210
121012;Percepción de inadecuación en las relaciones interpersonales.;3;1210
121013;Preocupación excesiva por sucesos vitales.;3;1210
121014;Preocupación por sucesos vitales.;3;1210
121015;Preocupación por la fuente del miedo.;3;1210
121016;Aumento de la presión sanguínea.;3;1210
121017;Aumento de la frecuencia del pulso radial.;3;1210
121018;Aumento de la frecuencia respiratoria.;3;1210
121019;Pupilas dilatadas.;3;1210
121020;Sudoración.;3;1210
121021;Sensación de desmayo.;3;1210
121022;Tensión muscular.;3;1210
121023;Tensión facial.;3;1210
121024;Micción frecuente.;3;1210
121025;Diarrea.;3;1210
121026;Incapacidad para dormir.;3;1210
121027;Piel pálida.;3;1210
121028;Fatiga.;3;1210
121029;Abandono.;3;1210
121030;Conducta de evitación.;3;1210
121031;Temor verbalizado.;3;1210
121032;Lloros.;3;1210
121033;Pavor.;3;1210
121034;Pánico.;3;1210
121035;Terror.;3;1210
121101;Desasosiego.;3;1211
121102;Impaciencia.;3;1211
121103;Manos húmedas.;3;1211
121104;Distrés.;3;1211
121105;Inquietud.;3;1211
121106;Tensión muscular.;3;1211
121107;Tensión facial.;3;1211
121108;Irritabilidad.;3;1211
121109;Indecisión.;3;1211
121110;Explosiones de ira.;3;1211
121111;Conducta problemática.;3;1211
121112;Dificultades para la concentración.;3;1211
121113;Dificultades de aprendizaje.;3;1211
121114;Dificultades para resolver problemas.;3;1211
121115;Ataque de pánico.;3;1211
121116;Aprensión verbalizada.;3;1211
121117;Ansiedad verbalizada.;3;1211
121118;Preocupación exagerada por eventos vitales.;3;1211
121119;Aumento de la presión sanguínea.;3;1211
121120;Aumento de la velocidad del pulso.;3;1211
121121;Aumento de la frecuencia respiratoria.;3;1211
121122;Pupilas dilatadas.;3;1211
121123;Sudoración.;3;1211
121124;Vértigo.;3;1211
121125;Fatiga.;3;1211
121126;Disminución de la productividad.;3;1211
121127;Disminución de los logros escolares.;3;1211
121128;Abandono.;3;1211
121129;Trastorno de los patrones del sueño.;3;1211
121130;Cambio en las pautas intestinales.;3;1211
121131;Camibo en las pautas de alimentación.;3;1211
121201;Aumento de la presión sanguínea.;3;1212
121202;Aumento de la frecuencia del pulso radial.;3;1212
121203;Aumento de la frecuencia respiratoria.;3;1212
121204;Pupilas dilatadas.;3;1212
121205;Aumento de la tensión muscular en el cuello, los hombros y/o la espalda.;3;1212
121206;Cefalea tensional.;3;1212
121207;Palmas de las manos sudorosas.;3;1212
121208;Boca y garganta secas.;3;1212
121209;Diarrea.;3;1212
121210;Micción frecuente.;3;1212
121211;Cambio en la ingesta de alimentos.;3;1212
121212;Trastornos estomacales.;3;1212
121213;Inquietud.;3;1212
121214;Trastornos del sueño.;3;1212
121215;Falta de memoria.;3;1212
121216;Errores cognitivos frecuentes.;3;1212
121217;Disminución de la atención a detalles.;3;1212
121218;Incapacidad para concentrarse en las tareas.;3;1212
121219;Explosiones de ira.;3;1212
121220;Irritabilidad.;3;1212
121221;Depresión.;3;1212
121222;Ansiedad.;3;1212
121223;Recelo.;3;1212
121224;Pensamientos opresivos.;3;1212
121225;Episodios de flashback.;3;1212
121226;Disociación.;3;1212
121227;Conducta compulsiva.;3;1212
121228;Aumento del consumo de alcohol.;3;1212
121229;Aumento del consumo de fármacos psicotrópicos.;3;1212
121230;Aumento del consumo de tabaco.;3;1212
121231;Absentismo laboral.;3;1212
121232;Disminución de la productividad.;3;1212
121233;Aumento de la frecuencia de accidentes.;3;1212
121234;Cambios en la libido.;3;1212
121235;Interrupción del proceso de pensamiento.;3;1212
121302;Aumento de la frecuencia cardíaca.;3;1213
121303;Cefaleas.;3;1213
121304;Dolor de estómago.;3;1213
121305;Micción frecuente.;3;1213
121306;Diarrea frecuente.;3;1213
121307;Fatiga.;3;1213
121308;Pérdida de peso.;3;1213
121310;Sudoración.;3;1213
121311;Lloros.;3;1213
121312;Labilidad emocional.;3;1213
121313;Tartamudeo.;3;1213
121314;Irritabilidad.;3;1213
121315;Risas excesivas.;3;1213
121316;Conducta de evitación.;3;1213
121317;Abandono.;3;1213
121318;Aumento de las ausencias escolares.;3;1213
121319;Trampas.;3;1213
121320;Dificultades para continuar con las tareas.;3;1213
121321;Dificultades de concentración.;3;1213
121322;Tics.;3;1213
121323;Morderse las uñas.;3;1213
121324;Chuparse los dedos.;3;1213
121325;Masticar el cabello.;3;1213
121326;Masticar la ropa.;3;1213
121327;Agitarse nerviosamente.;3;1213
121328;Movimiento de balanceo.;3;1213
121329;Sacudidas violentas.;3;1213
121330;Conducta violenta.;3;1213
121331;Violencia en los dibujos.;3;1213
121332;Conducta destructiva.;3;1213
121333;Robar.;3;1213
121334;Conducta regresiva.;3;1213
121335;Conducta excesiva de búsqueda de aprobación.;3;1213
121336;Conducta exigente.;3;1213
121337;Fabricación de historias.;3;1213
121338;Preguntas constantes.;3;1213
121339;Conducta pegajosa.;3;1213
121340;Conducta de fingimiento de lesiones.;3;1213
121341;Conducta autodestructiva.;3;1213
121342;Uso de drogas de ocio.;3;1213
121343;Ingesta de alcohol.;3;1213
121344;Excesiva autodenigración.;3;1213
121345;Pavor.;3;1213
121346;Pánico.;3;1213
121347;Terror.;3;1213
121401;Dificultad para procesar la información.;3;1214
121402;Inquietud.;3;1214
121403;Frustración.;3;1214
121404;Irritabilidad.;3;1214
121405;Camina de un lado para otro.;3;1214
121406;Movimientos repetitivos.;3;1214
121407;Incapacidad para estar sentado.;3;1214
121408;Dificultad para continuar las tareas.;3;1214
121409;Se resiste a la ayuda.;3;1214
121410;Combatividad.;3;1214
121411;Se revuelca en la cama.;3;1214
121412;Se arranca los tubos o las sujeciones.;3;1214
121413;Gestos repetitivos.;3;1214
121414;Se agarra.;3;1214
121415;Acapara.;3;1214
121416;Golpea.;3;1214
121417;Patalea.;3;1214
121418;Lanza.;3;1214
121419;Escupe.;3;1214
121420;Muerde.;3;1214
121421;Labilidad emocional.;3;1214
121422;Arrebatos verbales.;3;1214
121423;Verbalizaciones inadecuadas.;3;1214
121424;Gestos inadecuados.;3;1214
121425;Desinhibición.;3;1214
121426;Sueño interrumpido.;3;1214
121427;Pérdida de peso.;3;1214
121428;Deshidratación.;3;1214
121429;Aumento de la presión arterial.;3;1214
121430;Aumento de la frecuencia del pulso radial.;3;1214
121431;Aumento de la frecuencia respiratoria.;3;1214
130001;Tranquilidad.;9;1300
130002;Renuncia al concepto previo de salud.;9;1300
130003;Calma.;9;1300
130007;Expresa sentimientos sobre el estado de salud.;9;1300
130008;Reconocimiento de la realidad de la situación de salud.;9;1300
130009;Búsqueda de información.;9;1300
130010;Superación de la situación de salud.;9;1300
130011;Toma de decisiones relacionadas con la salud.;9;1300
130012;Clarificación de valores percibidos.;9;1300
130013;Renovación de un sentimiento de ganancia.;9;1300
130014;Realización de tareas de cuidados personales.;9;1300
130016;Mantiene las relaciones.;9;1300
130017;Se adapta al cambio en el estado de salud.;9;1300
130018;Muestra resistencia.;9;1300
130019;Clarificación de prioridades vitales.;9;1300
130020;Expresa consideración por sí mismo positiva.;9;1300
130101;Agitación.;12;1301
130102;Ansiedad por la separación.;12;1301
130103;Conducta regresiva.;12;1301
130104;Ansiedad.;12;1301
130105;Miedo.;12;1301
130106;Ira.;12;1301
130109;Responde a las medidas de comodidad.;9;1301
130110;Responde a la terapia de diversión.;9;1301
130111;Participación en la interacción social.;9;1301
130112;Mantenimiento de la relación padre-hijo.;9;1301
130113;Reconocimiento de la necesidad de hospitalización.;9;1301
130115;Participación en la toma de decisiones.;9;1301
130117;Mantenimiento de las conductas de higiene personal previas al ingreso.;9;1301
130118;Cooperación en los procedimientos.;9;1301
130119;Mantenimiento de las relaciones sociales.;9;1301
130121;Mantiene una rutina habitual.;9;1301
130123;Pregunta sobre la enfermedad.;12;1301
130124;Pregunta sobre el tratamiento.;9;1301
130125;Describe la enfermedad.;9;1301
130126;Describe el tratamiento prescrito.;9;1301
130127;Mantiene el control.;9;1301
130128;Retirada.;12;1301
130129;Conductas agresivas.;12;1301
130201;Identifica patrones de superación eficaces.;9;1302
130202;Identifica patrones de superación ineficaces.;9;1302
130203;Verbaliza sensación de control.;9;1302
130204;Refiere disminución de estrés.;9;1302
130205;Verbaliza aceptación de la situación.;9;1302
130207;Modifica el estilo de vida para reducir el estrés.;9;1302
130208;Se adapta a los cambios en desarrollo.;9;1302
130210;Adopta conductas para reducir el estrés.;9;1302
130211;Identifica múltiples estrategias de superación.;9;1302
130212;Utiliza estrategias de superación efectivas.;9;1302
130213;Evita situaciones excesivamente estresantes.;9;1302
130214;Verbaliza la necesidad de asistencia.;9;1302
130216;Refiere disminución de los síntomas físicos de estrés.;9;1302
130217;Refiere disminución de los sentimientos negativos.;9;1302
130218;Refiere aumento del bienestar psicológico.;9;1302
130220;Busca información acreditada sobre el disgnóstico.;9;1302
130221;Busca información acrediatada sobre el tratamiento.;9;1302
130222;Utiliza el sistema de apoyo personal.;9;1302
130223;Obtiene ayuda de un profesional sanitario.;9;1302
130401;Expresa sentimientos sobre la pérdida.;9;1304
130402;Expresa creencias espirituales sobre la muerte.;9;1304
130403;Verbaliza la realidad de la pérdida.;9;1304
130404;Verbaliza la aceptación de la pérdida.;9;1304
130405;Describe el significado de la pérdida.;9;1304
130406;Participa en la planificación del funeral.;9;1304
130409;Discute los conflictos no resueltos.;9;1304
130410;Refiere ausencia de angustia somática.;9;1304
130411;Refiere disminución de la preocupación con la pérdida.;9;1304
130412;Mantiene el ambiente de vida.;9;1304
130413;Mantiene el cuidado e higiene personales.;9;1304
130414;Refiere sueño adecuado.;9;1304
130415;Refiere una ingestión nutricional adecuada.;9;1304
130416;Refiere un deseo sexual normal.;9;1304
130417;Busca apoyo social.;9;1304
130418;Comparte la pérdida con otros seres queridos.;9;1304
130419;Refiere implicación en actividades sociales.;9;1304
130420;Progresa a lo largo de las fases de aflicción.;9;1304
